taxon_id	name
11086	Louping ill virus
1849531	Fusarium poae narnavirus 1
193122	Peanut stunt virus satellite RNA
687353	Torque teno virus 14
687354	Torque teno virus 15
1608094	Wenzhou Tick Virus
687349	Torque teno virus 10
687351	Torque teno virus 12
687358	Torque teno virus 19
1536603	Mycobacterium phage Estave1
1788438	Circovirus-like genome DCCV-10
1788439	Circovirus-like genome DCCV-11
1788440	Circovirus-like genome DCCV-12
1788441	Circovirus-like genome DCCV-13
290030	Malvastrum yellow vein Yunnan virus
1391224	Escherichia phage vB_EcoM_PhAPEC2
1033266	Porcine bocavirus 3
1922652	Beihai rhabdo-like virus 2
1922651	Beihai rhabdo-like virus 1
1175657	Pseudomonas phage PaMx11
1922656	Beihai rhabdo-like virus 6
1922655	Beihai rhabdo-like virus 5
1922654	Beihai rhabdo-like virus 4
948870	Enterobacteria phage phi92
12242	Tobacco mosaic virus
1016852	Banana streak CA virus
741733	Malvastrum yellow mosaic Cameroon alphasatellite
1079895	Mycobacterium phage Pleione
1983570	Apis flavivirus
11806	Murine osteosarcoma virus
1913124	Cowpea polerovirus 1
284687	Amasya cherry disease associated chrysovirus
1777016	Panax notoginseng virus A
51330	Cucurbit yellow stunting disorder virus
1162305	Clostridium phage phiCPV4
170965	Trichomonas vaginalis virus 3
674954	Trichomonas vaginalis virus 2
674953	Trichomonas vaginalis virus 1
2018313	Wild melon vein banding virus
1567016	Clostridium phage phiCTC2B
1567015	Clostridium phage phiCTC2A
461126	Etatorquevirus
280702	Mycoplasma phage phiMFV1
436243	Tomato leaf curl Joydebpur betasatellite
130556	Culex nigripalpus nucleopolyhedrovirus
1923474	Shuangao sobemo-like virus 1
12209	Pepper mottle virus
1655646	Gokushovirinae Bog1183_53
1141132	Aeromonas phage phiAS7
879630	Aeromonas phage phiAS5
879628	Aeromonas phage phiAS4
35344	Streptococcus phage T12
289365	Tetraparvovirus
1235559	Providencia phage Redjac
28369	L5virus
1923301	Hubei toti-like virus 13
1346815	Circo-like virus-Brazil hs1
78540	Sleeping disease virus
1955196	Big Cypress virus
435488	Honeysuckle yellow vein Japan betasatellite
1923304	Hubei toti-like virus 16
1667322	Pseudoalteromonas phage Pq0
1592102	Sewage-associated circular DNA virus-35
1592101	Sewage-associated circular DNA virus-34
1592104	Sewage-associated circular DNA virus-37
1592103	Sewage-associated circular DNA virus-36
1592098	Sewage-associated circular DNA virus-31
1592097	Sewage-associated circular DNA virus-30
1592100	Sewage-associated circular DNA virus-33
309390	Tomato leaf curl Joydebpur virus
1357714	Caulobacter phage Cr30
1871685	Lactococcus phage 98201
519015	Pepper leaf curl Yunnan virus-[YN323]
64318	Spondweni virus
714583	Salmonella phage ST160
10841	Microviridae
563123	Mycobacterium virus Ramsey
526119	unclassified Mamastrovirus
1204538	Pseudomonas phage Phi-S1
1923282	Hubei tombus-like virus 34
929769	Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]
576948	Rabbit calicivirus Australia 1 MIC-07
1923116	Hubei picorna-like virus 36
1572750	Mannheimia phage vB_MhM_3927AP2
754072	Vibrio phage VBP32
592206	Helleborus net necrosis virus
1923113	Hubei picorna-like virus 33
1857099	Salmonella phage BPS11Q3
649188	Lujo mammarenavirus
1165134	Lactococcus virus ASCC191
575918	Tomato leaf curl Patna betasatellite
1923119	Hubei picorna-like virus 39
1803898	Pepper virus A
104263	Hop latent virus
1843740	Faeces associated gemycircularvirus 20
1027880	Asclepias asymptomatic virus
1646351	Trichomonas vaginalis virus dsRNA satellite S1'
488241	Influenza A virus (A/Korea/426/1968(H2N2))
297254	C5virus
377462	Malvastrum yellow mosaic virus
10826	Panicum streak virus
392761	Tomato leaf curl Arusha virus
1453081	Faba bean necrotic yellows C11 alphasatellite
31766	Orthohepevirus
11158	Paramyxoviridae
200403	Mosqueiro virus
1923151	Hubei picorna-like virus 68
1986029	Chlamydia virus CPAR39
1923146	Hubei picorna-like virus 63
1923145	Hubei picorna-like virus 62
1923144	Hubei picorna-like virus 61
1923143	Hubei picorna-like virus 60
1923150	Hubei picorna-like virus 67
1042122	Clostridium phage phiCP13O
1923148	Hubei picorna-like virus 65
1048668	Cotton leaf curl Multan alphasatellite
1640277	Grapevine Cabernet Sauvignon reovirus
880158	unclassified Prasinovirus
2016468	Pansavirus 2
652675	Raspberry bushy dwarf virus
532074	Enterobacteria phage BA14
1090133	Enterobacteria phage IME10
1675553	Mycobacterium phage Nhonho
1862127	Wild onion symptomless virus
31537	C2virus
127507	Vibrio phage VfO3K6
1679524	Mycobacterium phage Dusk
88870	Tm4virus
1406782	Bacillus virus Blastoid
1980464	Cao Bang orthohantavirus
643132	Quang Binh virus
1343901	Fruit bat alphaherpesvirus 1
35286	Bamboo mosaic virus
1511773	Sicinivirus
11089	Yellow fever virus group
1637496	Rotavirus I
1534547	Chicken picornavirus 4
1534548	Chicken picornavirus 5
1534545	Chicken picornavirus 2
1534546	Chicken picornavirus 3
1534544	Chicken picornavirus 1
12055	Alphanecrovirus
70734	Vibrio phage K139
1428342	Chilli leaf curl alphasatellite
925984	Erwinia phage phiEt88
749413	Deep-sea thermophilic phage D6E
11085	Langat virus
140295	Varicosavirus
650482	Mushroom bacilliform virus
10913	Rotavirus C
12188	White clover mosaic virus
1385658	Marine gokushovirus
1316739	Pseudoalteromonas phage RIO-1
1551711	Mycobacterium phage Bipolar
10589	Human papillomavirus type 41
1922712	Beihai tombus-like virus 1
1526550	Sulfitobacter phage NYA-2014a
303317	Rabbit vesivirus
10616	Human papillomavirus type 49
40538	Human papillomavirus type 48
1089111	Mycobacterium virus Alma
10345	Suid alphaherpesvirus 1
706524	Tursiops truncatus papillomavirus 1
936060	Tursiops truncatus papillomavirus 2
10730	Podoviridae
10439	Duck hepatitis B virus
359987	Bacillarnavirus
12210	Pepper severe mosaic virus
1458724	Mycobacterium phage Alsfro
317027	Allium virus X
1327970	Cellulophaga phage phi19:1
45221	Latino mammarenavirus
1541823	Mycobacterium phage Llama
1923351	Jingmen tombus-like virus 1
32625	Barnaviridae
452758	Allamanda leaf curl virus
1923287	Hubei tombus-like virus 39
1923286	Hubei tombus-like virus 38
