#tax_id	genomic_nucleotide_accession.version
40302	NW_020169378.1
40302	NW_020169379.1
40302	NW_020169380.1
40302	NW_020169381.1
40302	NW_020169382.1
40302	NW_020169383.1
40302	NW_020169385.1
40302	NW_020169384.1
40302	NW_020169304.1
40302	NW_020169386.1
40302	NW_020169387.1
40302	NW_020169388.1
40302	NW_020169389.1
40302	NW_020169390.1
40302	NW_020169391.1
40302	NW_020169392.1
40302	NW_020169393.1
40302	NW_020169394.1
40382	NC_025570.1
40490	NC_037773.1
41047	NW_020798301.1
41047	NW_020798137.1
41047	NW_020798683.1
41047	NW_020798559.1
41047	NW_020798055.1
41047	NW_020798079.1
41047	NW_020798402.1
41047	NW_020798154.1
41047	NW_020798244.1
41047	NW_020798523.1
41047	NW_020798406.1
41047	NW_020798525.1
41047	NW_020798285.1
41047	NW_020798218.1
41047	NW_020798052.1
41047	NW_020798213.1
41047	NW_020798123.1
41047	NW_020798153.1
41047	NW_020798262.1
41047	NW_020798156.1
41047	NW_020798445.1
41047	NW_020798663.1
41047	NW_020798440.1
41047	NW_020798098.1
41047	NW_020798315.1
41047	NW_020798380.1
41047	NW_020798572.1
41047	NW_020798502.1
41047	NW_020798187.1
41047	NW_020798180.1
41047	NW_020798136.1
41047	NW_020798058.1
41047	NW_020798118.1
41047	NW_020798194.1
41047	NW_020798110.1
41047	NW_020798491.1
41047	NW_020798405.1
41047	NW_020798351.1
41047	NW_020798418.1
41047	NW_020798102.1
41047	NW_020798465.1
41047	NW_020798114.1
41047	NW_020798653.1
41047	NW_020798127.1
41047	NW_020798352.1
41047	NW_020798666.1
41047	NW_020798408.1
41047	NW_020798170.1
41047	NW_020798318.1
41047	NW_020798171.1
41047	NW_020798108.1
41047	NW_020798485.1
41047	NW_020798594.1
41047	NW_020798442.1
41047	NW_020798212.1
41047	NW_020798214.1
41047	NW_020798192.1
41047	NW_020798157.1
41047	NW_020798210.1
41047	NW_020798084.1
41047	NW_020798238.1
41047	NW_020798191.1
41047	NW_020798138.1
41047	NW_020798367.1
41047	NW_020798401.1
41047	NW_020798473.1
41047	NW_020798625.1
41047	NW_020798425.1
41047	NW_020798291.1
41047	NW_020798359.1
41047	NW_020798398.1
41047	NW_020798345.1
41047	NW_020798354.1
41047	NW_020798251.1
41047	NW_020798347.1
41047	NW_020798172.1
41047	NW_020798071.1
41047	NW_020798426.1
41047	NW_020798429.1
41047	NW_020798272.1
41047	NW_020798116.1
41047	NW_020798478.1
41047	NW_020798470.1
41047	NW_020798241.1
41047	NW_020798386.1
41047	NW_020798560.1
41047	NW_020798316.1
41047	NW_020798188.1
41047	NW_020798373.1
41047	NW_020798637.1
41047	NW_020798662.1
41047	NW_020798305.1
41047	NW_020798574.1
41047	NW_020798101.1
41047	NW_020798307.1
41047	NW_020798651.1
41047	NW_020798246.1
41047	NW_020798128.1
41047	NW_020798553.1
41047	NW_020798076.1
41047	NW_020798503.1
41047	NW_020798334.1
41047	NW_020798195.1
41047	NW_020798299.1
41047	NW_020798570.1
41047	NW_020798360.1
41047	NW_020798054.1
41047	NW_020798365.1
41047	NW_020798437.1
41047	NW_020798117.1
41047	NW_020798160.1
41047	NW_020798087.1
41047	NW_020798422.1
41047	NW_020798239.1
41047	NW_020798059.1
41047	NW_020798602.1
41047	NW_020798519.1
41047	NW_020798434.1
41047	NW_020798077.1
41047	NW_020798142.1
41047	NW_020798312.1
41047	NW_020798549.1
41047	NW_020798468.1
41047	NW_020798073.1
41047	NW_020798534.1
41047	NW_020798144.1
41047	NW_020798139.1
41047	NW_020798381.1
41047	NW_020798330.1
41047	NW_020798270.1
41047	NW_020798151.1
41047	NW_020798454.1
41047	NW_020798166.1
41047	NW_020798104.1
41047	NW_020798223.1
41047	NW_020798178.1
41047	NW_020798456.1
41047	NW_020798539.1
41047	NW_020798542.1
41047	NW_020798201.1
41047	NW_020798320.1
41047	NW_020798524.1
41047	NW_020798177.1
41047	NW_020798527.1
41047	NW_020798067.1
41047	NW_020798670.1
41047	NW_020798583.1
41047	NW_020798642.1
41047	NW_020798070.1
41047	NW_020798313.1
41047	NW_020798339.1
41047	NW_020798644.1
41047	NW_020798342.1
41047	NW_020798374.1
41047	NW_020798399.1
41047	NW_020798325.1
41047	NW_020798667.1
41047	NW_020798498.1
41047	NW_020798278.1
41047	NW_020798091.1
41047	NW_020798250.1
41047	NW_020798155.1
41047	NW_020798626.1
41047	NW_020798162.1
41047	NW_020798441.1
41047	NW_020798332.1
41047	NW_020798396.1
41047	NW_020798309.1
41047	NW_020798397.1
41047	NW_020798686.1
41047	NW_020798412.1
41047	NW_020798199.1
41047	NW_020798469.1
41047	NW_020798489.1
41047	NW_020798115.1
41047	NW_020798462.1
